"","sp.code","id","X","class","values","total","Common.name..Species.","Species","Diagnosis","Neoplasia.Site","Tumor.type"
"33","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Balanced Accuracy","Cancer",0.840626490114808,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"34","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Balanced Accuracy","Overall",0.879847785486524,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"35","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Balanced Accuracy","mean",0.879847785486524,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"36","CANFAM","Murchison_1172T-Dog","Sensitivity","Stromal",0.766666666666667,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"37","CANFAM","Murchison_1172T-Dog","Sensitivity","Lymphocyte",0.991379310344828,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"38","CANFAM","Murchison_1172T-Dog","Sensitivity","Cancer",0.993377483443709,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"39","CANFAM","Murchison_1172T-Dog","Sensitivity","Overall",0.917141153485068,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"40","CANFAM","Murchison_1172T-Dog","Sensitivity","mean",0.917141153485068,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"41","CANFAM","Murchison_1172T-Dog","Specificity","Stromal",1,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"42","CANFAM","Murchison_1172T-Dog","Specificity","Lymphocyte",0.994152046783626,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"43","CANFAM","Murchison_1172T-Dog","Specificity","Cancer",0.914772727272727,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"44","CANFAM","Murchison_1172T-Dog","Specificity","Overall",0.969641591352118,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"45","CANFAM","Murchison_1172T-Dog","Specificity","mean",0.969641591352118,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"46","CANFAM","Murchison_1172T-Dog","Pos Pred Value","Stromal",1,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"47","CANFAM","Murchison_1172T-Dog","Pos Pred Value","Lymphocyte",0.974576271186441,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"48","CANFAM","Murchison_1172T-Dog","Pos Pred Value","Cancer",0.967741935483871,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"49","CANFAM","Murchison_1172T-Dog","Pos Pred Value","Overall",0.98077273555677,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"50","CANFAM","Murchison_1172T-Dog","Pos Pred Value","mean",0.98077273555677,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"51","CANFAM","Murchison_1172T-Dog","Neg Pred Value","Stromal",0.97598627787307,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"52","CANFAM","Murchison_1172T-Dog","Neg Pred Value","Lymphocyte",0.998043052837573,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"53","CANFAM","Murchison_1172T-Dog","Neg Pred Value","Cancer",0.981707317073171,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"54","CANFAM","Murchison_1172T-Dog","Neg Pred Value","Overall",0.985245549261271,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"55","CANFAM","Murchison_1172T-Dog","Neg Pred Value","mean",0.985245549261271,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
